GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
30.7042733515,111.2928770943,30.7018611779,111.298558013,30.707547,111.305152,湖北省宜昌市西陵区东山大道107号,-,宜昌站
35.0269155293,110.9851466909,35.0261115698,110.9908544317,35.032445,110.997266,山西省运城市盐湖区潞村街2号,-,运城站
47.7269048134,128.9199668531,47.7291242614,128.9270103341,47.734815,128.933619,黑龙江省伊春市伊春区G1111(鹤嫩公路),-,伊春站
37.696400599,112.7246558455,37.6970713101,112.7311253335,37.702751,112.737759,山西省晋中市榆次区迎宾街辅路,-,榆次站
39.3534154966,117.0583432238,39.3546641044,117.0647161524,39.36035,117.071345,天津市武清区S308(前进道),-,杨村站
27.7889841566,114.3837632266,27.7858851712,114.3890740004,27.791797,114.395601,江西省宜春市袁州区平安路533号,-,宜春西站
47.289663494,119.8394726938,47.2916501432,119.8462425894,47.297575,119.85276,内蒙古自治区兴安盟阿尔山市,-,伊尔施站
0,0,0,0,0,0,-,-,燕岗站
0,0,0,0,0,0,-,-,永济站
42.8844018611,129.4898788554,42.8869294042,129.4969116074,42.89317,129.503316,吉林省延边朝鲜族自治州延吉市铁北路,-,延吉站
40.6840512,122.2598725213,40.6856174272,122.2650330914,40.691893,122.271459,辽宁省营口市站前区公园路,-,营口站
49.2774199821,120.731085313,49.2794041858,120.7376620895,49.285621,120.744065,内蒙古自治区呼伦贝尔市牙克石市迎宾西街,-,牙克石站
34.6693749218,109.2238713267,34.6682322259,109.2289460662,34.674134,109.235463,陕西省西安市阎良区胜利街213号,-,阎良站
22.600229208,110.1524837535,22.5974904563,110.1570166867,22.603802,110.163466,广西壮族自治区玉林市玉州区中秀路162号,-,玉林站
38.2732079756,109.7145924067,38.2737133669,109.7201553082,38.279479,109.726738,陕西省榆林市榆阳区兴榆路,-,榆林站
0,0,0,0,0,0,-,-,亚龙湾站
45.0602373265,128.0736943145,45.0625411392,128.0803408284,45.068256,128.086947,黑龙江省哈尔滨市尚志市镇中公路,-,一面坡站
43.9662086004,81.27519006,43.9673515756,81.2780922102,43.97333,81.284633,新疆维吾尔自治区伊犁哈萨克自治州伊宁市新疆路,-,伊宁站
0,0,0,0,0,0,-,-,阳平关站
27.2432705334,108.9306157471,27.2397413733,108.9347409846,27.245817,108.941242,贵州省铜仁市玉屏侗族自治县G320(沪瑞线),-,玉屏站
38.7190525461,112.7215629338,38.719692907,112.7281397103,38.725441,112.734727,山西省忻州市原平市永安东街,-,原平站
0,0,0,0,0,0,-,-,延庆站
0,0,0,0,0,0,-,-,阳泉曲站
0,0,0,0,0,0,-,-,玉泉站
37.8557860762,113.5859137943,37.8562901407,113.592313545,37.862072,113.598893,山西省阳泉市城区德胜街130号,-,阳泉站
31.0674959936,106.564765302,31.0650377306,106.5685740388,31.071335,106.574963,四川省南充市营山县铁荣巷,-,营山站
28.6636344883,118.2313831348,28.6604903476,118.2364256877,28.666393,118.242938,江西省上饶市玉山县金山大道,-,玉山站
0,0,0,0,0,0,-,-,燕山站
0,0,0,0,0,0,-,-,榆树站
28.2386475302,117.0227324673,28.2353960551,117.0278340288,28.241504,117.034359,江西省鹰潭市月湖区四海东路,-,鹰潭站
37.5475748888,121.3776059852,37.5485914918,121.3828577505,37.554249,121.389465,山东省烟台市芝罘区北马路,-,烟台站
0,0,0,0,0,0,-,-,伊图里河站
39.8808127919,117.7286924247,39.8820477594,117.7350921754,39.888296,117.741545,河北省唐山市玉田县无终街,-,玉田县站
29.3808764074,120.0386637436,29.3783661839,120.043352245,29.384124,120.049915,浙江省金华市义乌市宗泽北路,-,义乌站
0,0,0,0,0,0,-,-,阳新站
41.525200712,121.2240433401,41.5273655534,121.2295525974,41.533267,121.236092,辽宁省锦州市义县西环街2,-,义县站
28.5418945567,112.3364359331,28.5387088219,112.342106123,28.54479,112.348583,湖南省益阳市赫山区迎宾西路445,-,益阳站
29.3789276001,113.1141036619,29.3764080274,113.1200796236,29.382326,113.126584,湖南省岳阳市岳阳楼区站前路,-,岳阳站
18.3782067304,109.1530449323,18.3766387697,109.1571648053,18.382399,109.16372,海南省三亚市火车站路,-,崖州站
26.4576818948,111.5656900542,26.4541088003,111.5709471839,26.460193,111.577429,湖南省永州市冷水滩区潇湘大道,-,永州站
32.3915624096,119.3457109533,32.3896283659,119.3511343799,32.395393,119.357721,江苏省扬州市邗江区站南路,-,扬州站
36.7888015346,118.0511345462,36.7892869832,118.0571856097,36.795414,118.063664,山东省淄博市张店区金晶大道南,-,淄博站
37.9561145004,112.0548198729,37.9568886046,112.061520031,37.96317,112.067965,山西省太原市古交市雁门路,-,镇城底站
29.3587845043,104.7884415434,29.355941826,104.7911452101,29.361882,104.797638,四川省自贡市大安区火车站路,-,自贡站
22.2181508035,113.5442748351,22.2152059055,113.5493763966,22.221111,113.555901,广东省珠海市香洲区桂花南路35号,-,珠海站
22.4041076883,113.5467261012,22.4011221609,113.5518383916,22.407018,113.55833,广东省珠海市香洲区金峰北路,-,珠海北站
21.1906765969,110.383326133,21.1883207712,110.387842973,21.194554,110.394304,广东省湛江市霞山区南柳路,-,湛江站
32.1991258133,119.4272441816,32.1972510491,119.4326890659,32.203151,119.439233,江苏省镇江市润州区黄山支路13号,-,镇江站
29.1074137843,110.481572551,29.1045641558,110.4865292733,29.110459,110.493033,湖南省张家界市永定区官黎路,-,张家界站
40.8122075964,114.8824291231,40.8135230966,114.8885445597,40.819194,114.895178,河北省张家口市桥东区解放路,-,张家口站
40.7509876266,114.8771077044,40.7522677413,114.883223141,40.758007,114.889807,河北省张家口市桥东区南站前街6号,-,张家口南站
33.5796187296,114.65984405,33.577974058,114.6652191969,33.583647,114.67182,河南省周口市川汇区女娲路,-,周口站
0,0,0,0,0,0,-,-,哲里木站
48.0154687521,122.7372005148,48.0176004555,122.7435412569,48.023878,122.749958,内蒙古自治区呼伦贝尔市扎兰屯市站前街,-,扎兰屯站
32.979363306,114.0369437274,32.9775677881,114.0428499517,32.983324,114.049427,河南省驻马店市驿城区中山街,-,驻马店站
23.0840070719,112.4425415362,23.0814706254,112.4478630389,23.087791,112.454307,广东省肇庆市端州区站前西路,-,肇庆站
38.9550976459,121.560360091,38.9559278452,121.5653597286,38.962277,121.571734,辽宁省大连市甘井子区周水子广场8号,-,周水子站
27.3887306041,103.7891298218,27.3853202123,103.7912380381,27.391602,103.79768,云南省昭通市昭阳区火小公路,-,昭通站
37.5215784039,105.1863921583,37.5221613008,105.1901794374,37.527912,105.196741,宁夏回族自治区中卫市沙坡头区鼓楼北街,-,中卫站
0,0,0,0,0,0,-,-,资阳站
27.706347331,106.9443892474,27.7028376259,106.9482355351,27.708941,106.954707,贵州省遵义市红花岗区洞山坡路,-,遵义站
34.7806009022,117.3005876788,34.7797374154,117.3064188012,34.78541,117.31303,山东省枣庄市薛城区祁连山路,-,枣庄站
29.7710606391,104.8608422055,29.7682387895,104.8635029568,29.774425,104.869953,四川省内江市资中县站东路,-,资中站
27.8386305331,113.1509151627,27.8354760502,113.1567301919,27.8418,113.163141,湖南省株洲市荷塘区人民南路258号,-,株洲站
34.7946445071,117.249724187,34.7937501813,117.2554909364,34.799983,117.261923,山东省枣庄市薛城区临山路47号,-,枣庄西站
47.159730234,123.8080320816,47.1618311837,123.8147644262,47.167944,123.821206,黑龙江省齐齐哈尔市昂昂溪区迎宾路,-,昂昂溪站
45.5488712971,126.9905481575,45.5509749705,126.9967601536,45.556869,127.003323,黑龙江省哈尔滨市阿城区通城路19号,-,阿城站
0,0,0,0,0,0,-,-,安达站
0,0,0,0,0,0,-,-,安德站
0,0,0,0,0,0,-,-,安定站
0,0,0,0,0,0,-,-,安广站
39.3927920962,114.5417659699,39.3937663665,114.5478223979,39.399438,114.554441,河北省保定市涞源县,-,艾河站
0,0,0,0,0,0,-,-,安化站
37.1746704296,105.7618028562,37.1750551442,105.7659656446,37.180832,105.77252,宁夏回族自治区吴忠市同心县,-,艾家村站
27.6291416092,120.5410553939,27.6258479632,120.5450518853,27.631495,120.551649,浙江省温州市平阳县广场路,-,鳌江站
0,0,0,0,0,0,-,-,安家站
42.0414072645,121.7494051986,42.0436143802,121.7549198203,42.049376,121.761529,辽宁省阜新市阜新蒙古族自治县人民街89号,-,阿金站
39.1666833151,75.9723565343,39.1667041126,75.9752264979,39.172905,75.98167,新疆维吾尔自治区克孜勒苏柯尔克孜自治州阿克陶县Y023,-,阿克陶站
35.2353387216,106.8046621294,35.2346770538,106.8090394945,35.240897,106.815444,甘肃省平凉市华亭县瓷市街,-,安口窑站
0,0,0,0,0,0,-,-,敖力布告站
0,0,0,0,0,0,-,-,安龙站
51.6864724941,121.8728780406,51.6877929854,121.8796640294,51.693703,121.88617,内蒙古自治区呼伦贝尔市根河市,-,阿龙山站
31.2587624097,113.6893069071,31.2565750442,113.6951004787,31.262254,113.701709,湖北省孝感市安陆市文昌路21号,-,安陆站
52.8598935197,123.1547767973,52.8616068354,123.1627054071,52.867287,123.16932,黑龙江省大兴安岭地区漠河县东华路,-,阿木尔站
0,0,0,0,0,0,-,-,阿南庄站
30.7643272639,116.8134010065,30.7619212014,116.818475746,30.767576,116.825078,安徽省安庆市怀宁县独秀大道,-,安庆西站
41.1164119895,122.9101378485,41.1181580297,122.9153413339,41.124068,122.921878,辽宁省鞍山市千山区四达路,-,鞍山西站
0,0,0,0,0,0,-,-,安塘站
31.3163807857,121.1533601805,31.3145385218,121.1579360291,31.320272,121.164506,上海市嘉定区宝安公路5666号,-,安亭北站
0,0,0,0,0,0,-,-,阿图什站
0,0,0,0,0,0,-,-,安图站
25.0605953105,118.1961635419,25.0578496978,118.2009861537,25.064185,118.207393,福建省泉州市安溪县永安路,-,安溪站
19.1384655433,110.4822020165,19.1368235439,110.4865418307,19.142718,110.493054,海南省琼海市琼海市S219(迎宾路),-,博鳌站
29.8050830495,106.4277040742,29.8026021216,106.4317381166,29.808904,106.438162,重庆市北碚区龙凤路,-,北碚站
0,0,0,0,0,0,-,-,白壁关站
32.9036721972,117.4358417078,32.9019518193,117.4416728302,32.90787,117.448211,安徽省蚌埠市龙子湖区学翰路辅路,-,蚌埠南站
39.8353633449,78.5478460243,39.8356064005,78.5497879436,39.841412,78.556377,新疆维吾尔自治区喀什地区巴楚县友谊北路,-,巴楚站
40.6086834186,118.6428909834,40.6099784418,118.6488669451,40.61611,118.655361,河北省承德市宽城满族自治县S358,-,板城站
0,0,0,0,0,0,-,-,北戴河站
38.8625853201,115.4736006195,38.8634541666,115.4798823531,38.869177,115.48644,河北省保定市新市区西大园南街1110号,-,保定站
39.7143416752,117.3295224854,39.715649853,117.3360080668,39.721785,117.342488,天津市宝坻区建设路,-,宝坻站
